%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
       186     2.4284e-10              0     1.2871e-10              0     5.5705e-11              0    -1.1248e-10             -0    -2.4243e-10
       187     2.5257e-10              0     1.2686e-10              0    -2.0497e-12              0    -1.1807e-10             -0    -2.6118e-10
       188     2.6066e-10              0      1.241e-10              0    -5.9489e-11              0    -1.2214e-10             -0    -2.7687e-10
       189     2.6703e-10              0     1.2045e-10              0    -1.1604e-10              0     -1.247e-10             -0    -2.8941e-10
       190     2.7161e-10              0     1.1594e-10              0    -1.7112e-10              0    -1.2574e-10             -0    -2.9872e-10
       191     2.7435e-10              0     1.1059e-10              0     -2.242e-10              0    -1.2528e-10             -0    -3.0477e-10
       192     2.7524e-10              0     1.0445e-10              0    -2.7473e-10              0    -1.2337e-10             -0    -3.0755e-10
       193     2.7424e-10              0     9.7559e-11              0    -3.2224e-10              0    -1.2004e-10             -0    -3.0709e-10
       194     2.7136e-10              0     8.9973e-11              0    -3.6623e-10              0    -1.1536e-10             -0    -3.0346e-10
       195     2.6662e-10              0     8.1748e-11              0     -4.063e-10              0    -1.0942e-10             -0    -2.9675e-10
       196     2.6004e-10              0     7.2945e-11              0    -4.4205e-10              0    -1.0231e-10             -0    -2.8709e-10
       197     2.5167e-10              0     6.3633e-11              0    -4.7315e-10              0    -9.4131e-11             -0    -2.7463e-10
       198     2.4157e-10              0     5.3882e-11              0     -4.993e-10              0    -8.4998e-11             -0    -2.5955e-10
       199     2.2982e-10              0     4.3767e-11              0    -5.2026e-10              0    -7.5035e-11             -0    -2.4206e-10
       200     2.1649e-10              0     3.3366e-11              0    -5.3585e-10              0    -6.4375e-11             -0    -2.2239e-10
       201      2.017e-10              0      2.276e-11              0    -5.4594e-10              0    -5.3155e-11             -0    -2.0077e-10
       202     1.8555e-10              0     1.2028e-11              0    -5.5045e-10              0    -4.1521e-11             -0    -1.7748e-10
       203     1.6816e-10              0     1.2545e-12              0    -5.4937e-10              0    -2.9617e-11             -0    -1.5277e-10
       204     1.4966e-10              0    -9.4781e-12              0    -5.4273e-10              0    -1.7591e-11             -0    -1.2694e-10
       205      1.302e-10              0    -2.0087e-11              0    -5.3063e-10              0    -5.5904e-12             -0    -1.0027e-10
       206     1.0993e-10              0    -3.0492e-11              0    -5.1322e-10              0      6.238e-12              0    -7.3064e-11
       207     8.8984e-11              0    -4.0612e-11              0    -4.9071e-10              0     1.7752e-11              0    -4.5605e-11
       208     6.7532e-11              0    -5.0371e-11              0    -4.6334e-10              0     2.8814e-11              0    -1.8185e-11
       209     4.5734e-11              0    -5.9696e-11              0    -4.3142e-10              0     3.9293e-11              0      8.906e-12
       210     2.3747e-11              0    -6.8515e-11              0     -3.953e-10              0     4.9065e-11              0     3.5398e-11
       211     1.7388e-12              0    -7.6764e-11              0    -3.5536e-10              0     5.8016e-11              0     6.1022e-11
       212    -2.0133e-11              0    -8.4381e-11              0    -3.1202e-10              0     6.6042e-11              0     8.5529e-11
       213    -4.1707e-11              0    -9.1311e-11              0    -2.6575e-10              0     7.3051e-11              0     1.0868e-10
       214     -6.283e-11              0    -9.7504e-11              0    -2.1701e-10              0     7.8961e-11              0     1.3027e-10
       215    -8.3351e-11              0    -1.0292e-10              0    -1.6633e-10              0     8.3707e-11              0      1.501e-10
       216    -1.0312e-10              0    -1.0751e-10              0    -1.1421e-10              0     8.7235e-11              0     1.6798e-10
       217    -1.2202e-10              0    -1.1126e-10              0    -6.1199e-11              0     8.9507e-11              0     1.8379e-10
       218    -1.3989e-10              0    -1.1415e-10              0    -7.8275e-12              0     9.0498e-11              0     1.9738e-10
       219    -1.5665e-10             -0    -1.1614e-10             -0     4.5361e-11              0     9.0202e-11              0     2.0865e-10
       220    -1.7216e-10             -0    -1.1725e-10             -0     9.7833e-11              0     8.8623e-11              0     2.1755e-10
       221    -1.8633e-10             -0    -1.1746e-10             -0     1.4906e-10              0     8.5784e-11              0     2.2401e-10
       222    -1.9909e-10             -0    -1.1679e-10             -0     1.9854e-10              0     8.1719e-11              0     2.2802e-10
       223    -2.1035e-10             -0    -1.1524e-10             -0     2.4578e-10              0     7.6481e-11              0     2.2959e-10
       224    -2.2006e-10             -0    -1.1285e-10             -0     2.9031e-10              0     7.0132e-11              0     2.2874e-10
       225    -2.2818e-10             -0    -1.0963e-10             -0     3.3171e-10              0     6.2749e-11              0     2.2553e-10
       226    -2.3465e-10             -0    -1.0564e-10             -0     3.6958e-10              0     5.4422e-11              0     2.2005e-10
       227    -2.3948e-10             -0    -1.0089e-10             -0     4.0354e-10              0     4.5249e-11              0     2.1239e-10
       228    -2.4265e-10             -0    -9.5457e-11             -0      4.333e-10              0     3.5341e-11              0     2.0268e-10
       229    -2.4416e-10             -0    -8.9379e-11             -0     4.5856e-10              0     2.4815e-11              0     1.9107e-10
       230    -2.4405e-10             -0    -8.2716e-11             -0     4.7911e-10              0     1.3797e-11              0     1.7771e-10
       231    -2.4234e-10             -0    -7.5533e-11             -0     4.9476e-10              0     2.4178e-12              0     1.6278e-10
       232    -2.3908e-10             -0    -6.7896e-11             -0     5.0538e-10              0    -9.1867e-12             -0     1.4647e-10
       233    -2.3432e-10             -0    -5.9874e-11             -0     5.1091e-10              0    -2.0879e-11             -0     1.2898e-10
       234    -2.2813e-10             -0     -5.154e-11             -0     5.1131e-10              0    -3.2519e-11             -0     1.1053e-10
       235     -2.206e-10             -0    -4.2969e-11             -0     5.0662e-10              0    -4.3967e-11             -0     9.1316e-11
       236     -2.118e-10             -0    -3.4236e-11             -0      4.969e-10              0    -5.5087e-11             -0      7.157e-11
       237    -2.0184e-10             -0    -2.5417e-11             -0      4.823e-10              0    -6.5743e-11             -0     5.1509e-11
       238    -1.9082e-10             -0    -1.6588e-11             -0     4.6298e-10              0    -7.5808e-11             -0     3.1355e-11
       239    -1.7884e-10             -0    -7.8254e-12             -0     4.3917e-10              0    -8.5159e-11             -0     1.1322e-11
       240    -1.6602e-10             -0     7.9825e-13             -0     4.1114e-10              0    -9.3681e-11             -0    -8.3786e-12
       241    -1.5248e-10             -0     9.2113e-12             -0      3.792e-10              0    -1.0127e-10             -0    -2.7543e-11
       242    -1.3835e-10             -0     1.7345e-11             -0     3.4369e-10              0    -1.0782e-10             -0     -4.598e-11
       243    -1.2374e-10             -0     2.5134e-11             -0       3.05e-10              0    -1.1327e-10             -0    -6.3507e-11
       244    -1.0877e-10             -0     3.2518e-11             -0     2.6352e-10              0    -1.1752e-10             -0    -7.9957e-11
       245    -9.3586e-11             -0     3.9439e-11             -0      2.197e-10              0    -1.2053e-10             -0    -9.5177e-11
       246    -7.8292e-11             -0     4.5846e-11             -0     1.7399e-10              0    -1.2225e-10             -0    -1.0903e-10
       247    -6.3014e-11             -0     5.1693e-11             -0     1.2686e-10              0    -1.2265e-10             -0     -1.214e-10
       248    -4.7867e-11             -0     5.6939e-11             -0     7.8792e-11              0    -1.2171e-10             -0    -1.3219e-10
       249    -3.2963e-11             -0      6.155e-11             -0     3.0274e-11              0    -1.1944e-10             -0    -1.4131e-10
       250    -1.8409e-11              0     6.5499e-11              0    -1.8205e-11              0    -1.1584e-10             -0    -1.4871e-10
       251    -4.3042e-12              0     6.8763e-11              0     -6.616e-11              0    -1.1094e-10             -0    -1.5435e-10
       252     9.2579e-12              0     7.1329e-11              0    -1.1312e-10              0     -1.048e-10             -0     -1.582e-10
       253     2.2192e-11              0     7.3189e-11              0    -1.5861e-10              0    -9.7462e-11             -0    -1.6026e-10
