%        w           SX11           SX12           SX13           SX21           SX22           SX23           SX31           SX32           SX33
       287     0.00056203              0      0.0036384              0      0.0031717              0      0.0036384              0      0.0043005
       288     0.00053334              0      0.0025219              0      0.0030449              0      0.0025219              0      0.0043603
       289     0.00054211              0      0.0013809              0      0.0029005              0      0.0013809              0      0.0043771
       290     0.00058724              0     0.00022589              0      0.0027405              0     0.00022589              0      0.0043516
       291     0.00066707              0    -0.00093258              0      0.0025665              0    -0.00093258              0      0.0042851
       292     0.00077947              0     -0.0020838              0      0.0023806              0     -0.0020838              0      0.0041794
       293      0.0009218              0     -0.0032171              0      0.0021848              0     -0.0032171              0      0.0040368
       294       0.001091              0     -0.0043219              0      0.0019811              0     -0.0043219              0      0.0038598
       295      0.0012837              0     -0.0053878              0      0.0017716              0     -0.0053878              0      0.0036515
       296       0.001496              0     -0.0064048              0      0.0015584              0     -0.0064048              0      0.0034153
       297      0.0017239              0     -0.0073631              0      0.0013435              0     -0.0073631              0      0.0031549
       298      0.0019631              0     -0.0082538              0      0.0011291              0     -0.0082538              0      0.0028742
       299      0.0022092              0     -0.0090682              0     0.00091703              0     -0.0090682              0      0.0025774
       300      0.0024576              0     -0.0097984              0      0.0007093              0     -0.0097984              0      0.0022688
       301      0.0027038              0      -0.010437              0     0.00050772              0      -0.010437              0      0.0019528
       302      0.0029431              0      -0.010979              0     0.00031402              0      -0.010979              0      0.0016338
       303      0.0031712              0      -0.011417              0      0.0001298              0      -0.011417              0      0.0013164
       304      0.0033836              0      -0.011749              0    -4.3463e-05              0      -0.011749              0      0.0010048
       305      0.0035763              0      -0.011969              0    -0.00020443              0      -0.011969              0     0.00070321
       306      0.0037453              0      -0.012077              0    -0.00035193              0      -0.012077              0     0.00041579
       307      0.0038872              0       -0.01207              0    -0.00048494              0       -0.01207              0      0.0001463
       308      0.0039988              0      -0.011949              0    -0.00060262              0      -0.011949              0    -0.00010173
