%        w           SZ11           SZ12           SZ13           SZ21           SZ22           SZ23           SZ31           SZ32           SZ33
       294     -0.0010986              0     -2.309e-05              0    -0.00015902              0     -2.309e-05              0      0.0008609
       295      -0.000842              0    -0.00036639              0     -0.0002159              0    -0.00036639              0     0.00042953
       296    -0.00058137              0    -0.00069703              0    -0.00027009              0    -0.00069703              0    -2.1648e-06
       297    -0.00032048              0       -0.00101              0    -0.00032126              0       -0.00101              0    -0.00042935
       298    -6.3067e-05              0     -0.0013008              0    -0.00036912              0     -0.0013008              0    -0.00084728
       299     0.00018722              0     -0.0015648              0     -0.0004134              0     -0.0015648              0     -0.0012513
       300     0.00042691              0     -0.0017983              0    -0.00045386              0     -0.0017983              0      -0.001637
       301     0.00065267              0     -0.0019976              0    -0.00049029              0     -0.0019976              0     -0.0020002
       302     0.00086147              0     -0.0021599              0    -0.00052252              0     -0.0021599              0     -0.0023368
       303      0.0010505              0     -0.0022826              0    -0.00055039              0     -0.0022826              0     -0.0026432
       304      0.0012173              0     -0.0023638              0     -0.0005738              0     -0.0023638              0     -0.0029161
       305      0.0013598              0     -0.0024024              0    -0.00059266              0     -0.0024024              0     -0.0031528
       306      0.0014761              0     -0.0023975              0    -0.00060692              0     -0.0023975              0     -0.0033506
       307      0.0015649              0     -0.0023491              0    -0.00061656              0     -0.0023491              0     -0.0035077
       308      0.0016254              0     -0.0022579              0    -0.00062159              0     -0.0022579              0     -0.0036225
